Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code
MF-FSMF050X-2	Bourns Inc.	DK	MF-FSMF050X-2CT-ND	PTC RESET FUSE 6V 500MA 0603	0603
ATMEGA328P-MUR	Microchip Technology	DK	ATMEGA328P-MURCT-ND	IC MCU 8BIT 32KB FLASH 32VQFN	32-VQFN (5x5)
CSTNE16M0V530000R0	Murata Electronics North America	DK	490-17948-2-ND	CER RES 16.0000MHZ 15PF SMD	3-SMD
CSTNE12M0G550000R0	Murata Electronics North America	DK	490-17943-2-ND	CER RES 12.0000MHZ 33PF SMD	3-SMD
SS1P3L-M3/84A	Vishay Semiconductor Diodes Division	DK	SS1P3L-M3/84AGITR-ND	DIODE SCHOTTKY 30V 1.5A DO220AA	DO-220AA
LM1117IMPX-5.0/NOPB	Texas Instruments	DK	LM1117IMPX-5.0/NOPBTR-ND	IC REG LINEAR 5V 800MA SOT223-4	SOT-223-4
RC0603FR-071KL	Yageo	DK	311-1.00KHRTR-ND	RES SMD 1K OHM 1% 1/10W 0603	0603
CAY16-102J4LF	Bourns Inc.	DK	CAY16-102J4LFTR-ND	RES ARRAY 4 RES 1K OHM 1206	1206
CC0603KRX5R8BB105	Yageo	DK	311-1445-2-ND	CAP CER 1UF 25V X5R 0603	0603
CC0603ZRY5V9BB104	Yageo	DK	311-1343-2-ND	CAP CER 0.1UF 50V Y5V 0603	0603
CL31A475KOHNNNE	Samsung Electro-Mechanics	DK	1276-3059-2-ND	CAP CER 4.7UF 16V X5R 1206	1206
LTST-C171GKT	Lite-On Inc.	DK	160-1423-2-ND	LED GREEN CLEAR CHIP SMD	0805
LTST-C170KRKT	Lite-On Inc.	DK	160-1415-2-ND	LED RED CLEAR SMD	0805
LTST-C171KSKT	Lite-On Inc.	DK	160-1428-2-ND	LED YELLOW CLEAR CHIP SMD	0805
LM1117IMPX-5.0/NOPB	Texas Instruments	DK	LM1117IMPX-5.0/NOPBTR-ND	IC REG LINEAR 5V 800MA SOT223-4	SOT223
SS1P3L-M3/84A	Vishay Semiconductor Diodes Division	DK	SS1P3L-M3/84AGITR-ND	DIODE SCHOTTKY 30V 1.5A DO220AA	DO-220AA





	
